Title;Year;Classification;Duration;Genre;Directors;Writers;Cast;TechCrew
Ourivesaria;1982;;;['Documentário'];['Jorge Cabral'];[];[];{'Produção': [['Jorge Cabral']]}
Ou Inverno ou...;1965;;12 min;['Curta-metragem'];['Alfredo Tropa'];[];[];{'Produção': [['Alfredo Tropa']]}
Ossos;1997;;97 min;['Drama'];['Pedro Costa'];['Pedro Costa'];['Ana Marta', 'Beatriz Lopes', 'Berta Susana Teixeira', 'Carolina Eira', 'Clotilde Montron', 'Inês de Medeiros', 'Isabel Ruth', 'Luísa Carvalho', 'Maria Lipkina', 'Miguel Sermão', 'Nuno Vaz', 'Ricardo Tavares', 'Vanda Duarte', 'Zita Duarte'];{'Anotação': [['Paulo Belém']], 'Assistente de Imagem': [['Pedro Cardeira', 'Adrien Angliviel']], 'Assistente de Montagem': [['Paulo Barbosa']], 'Assistente de Produção': [['Maria Miguel Lima', 'Carlos Barreto', 'Alexandre Valente']], 'Assistente de Realização': [['Ana Figueira', 'José Maria Vaz da Silva']], 'Assistente de Som': [['Nuno Canteiro', 'Pedro Melo']], 'Chefe de Produção': [['Joaquim Carvalho']], 'Contabilidade': [['Fernanda Costa']], 'Decoração': [['Carlos Cruz', 'Margarida Nunes', 'Maria José Branco']], 'Diálogos': [['Pedro Costa']], 'Direcção de Fotografia': [['Emmanuel Machuel']], 'Direcção de Produção': [['António Gonçalo-Toninho', 'Elizabeth Bocquet']], 'Direcção de Som': [['Henri Maikoff']], 'Direcção Financeira': [['Leonard Glowinski', 'Luísa Perestrello']], 'Electricista': [['Mário Castanheira', 'João Carlos Aguiar', 'Carlos Santos', 'Herculano Cunha']], 'Figurinos': [['Isabel Favila', 'Pedro Madeira']], 'Fotografia de Cena': [['Mariana Viegas']], 'Genérico': [['José João']], 'Mistura de Som': [['Gérard Rousseau']], 'Montagem': [['Jackie Bastide']], 'Montagem de Som': [['Jean Dubreuil']], 'Música': [['Os Sabura', 'Wire']], 'Pós-Produção': [['Maiana Koenders', 'Marielle Duvissou', 'Emmanuelle Boursier']], 'Produção': [['Gemini Films', 'Madragoa Filmes', 'Zentropa']], 'Produtor': [['Paulo Branco']], 'Secretária de Produção': [['Paula Riba']], 'Som': [['Julien Naudin']]}
Orgulho da Iniciativa Portuguesa;1952;;;['Documentário'];[];[];[];{}
Orgulho;1953;;;['Documentário'];[];[];[];{}
O Orfeão Académico de Coimbra nos Açores;1960;;;['Documentário'];['Alfredo Tropa'];[];[];{}
Movimento do Porto;1935;N/C;;['Documentário'];['Aquilino Mendes'];[];[];{'Fotografia': [['Aquilino Mendes']], 'Produção': [['Aquilino Mendes']]}
Operação Estupefacientes;1966;;55 min;['Ficção'];['Miguel Spiguel'];[];[];{'Produção': [['Miguel Spiguel']]}
Operação Dinamite;1967;;90 min;['Ficção'];['Pedro Martins'];[];['Alberto Vilar', 'Armando Cortez', 'Carlos José Teixeira', 'Eduardo Cortez', 'Francisco Nicholson', 'Glória de Matos', 'Helen Del', 'Henriqueta Maya', 'Nicolau Breyner', 'Simone de Oliveira'];{'Adaptação': [['Armando Cortez']], 'Assistente de Imagem': [['Alberto Escoto']], 'Assistente de Realização': [['A. Ramos Ribeiro']], 'Caracterização': [['Manuel Fernandes']], 'Diálogos': [['Armando Cortez']], 'Direcção de Som': [['Luís Barão']], 'Fotografia': [['Abel Escoto']], 'Iluminação': [['João de Almeida']], 'Montagem': [['Maria Beatriz']], 'Música': [['Eugénio Pepe']], 'Produção': [['Felipe de Solms', 'Angola Filmes']], 'Sonoplastia': [['Heliodoro Pires']]}
"Operação ""Nó-Górdio""";1970;;;['Documentário'];[];[];[];{}
Ontem e Hoje;1933;;;['Documentário'];['Aníbal Contreiras'];[];[];{'Produção': [['Aníbal Contreiras']]}
